trans_id,timestamp,send_account,receiver_account,amount,is_flag
T100065,2023-12-28T16:04:16.026697,ACC315173,ACC171942,0.01,False
T100237,2023-01-15T23:52:46.424841,ACC725874,ACC153325,25.87,False
T100622,2023-07-03T19:33:47.104397,ACC912915,ACC198471,484.13,False
T100532,2023-10-18T03:27:03.376151,ACC502611,ACC607711,35.92,False
T100619,2023-03-25T10:50:00.736023,ACC833491,ACC850595,157.74,False
T100239,2023-11-27T22:23:20.314868,ACC751303,ACC355671,565.47,False
T100486,2023-06-21T04:44:47.980827,ACC485364,ACC943584,41.28,False
T100309,2023-04-27T14:16:00.505111,ACC658850,ACC854388,984.06,False
T100528,2023-09-05T21:23:32.967409,ACC894520,ACC510373,259.64,False
T100115,2023-10-01T00:41:06.927107,ACC311883,ACC968170,21.22,False
T100374,2023-10-20T21:09:28.355857,ACC948083,ACC168815,386.44,False
T100711,2023-07-03T00:45:14.257002,ACC740225,ACC728275,177.48,False
T100208,2023-06-17T18:49:21.523734,ACC589368,ACC416822,173.19,False
T100591,2023-12-11T11:30:57.624707,ACC765104,ACC571155,1124.65,False
T1377932,2023-09-27T12:54:40.252788,ACC675242,ACC966547,5.79,True
T100858,2023-02-10T04:44:57.258794,ACC978050,ACC180552,549.57,False
T100032,2023-03-08T15:56:46.580128,ACC497519,ACC443254,242.33,False
T100605,2023-08-11T04:54:35.622104,ACC309422,ACC694691,13.33,False
T100461,2023-05-23T17:52:18.733461,ACC249380,ACC532876,21.12,False
T100471,2023-01-18T16:24:37.122188,ACC658272,ACC570665,33.29,False
T4893012,2023-07-27T12:18:51.829790,ACC716571,ACC212310,126.97,True
T100714,2023-04-06T05:45:56.417705,ACC221591,ACC732958,136.37,False
T100353,2023-01-13T19:22:53.172966,ACC699098,ACC862886,58.38,False
T100432,2023-08-19T06:48:41.784458,ACC142402,ACC638277,109.31,False
T100277,2023-02-05T12:03:02.081835,ACC675074,ACC156440,206.14,False
T100233,2023-09-04T19:22:22.559963,ACC399817,ACC988459,233.25,False
T100367,2023-06-17T14:09:04.977870,ACC897273,ACC460265,625.57,False
T1949145,2023-07-11T17:37:56.231142,ACC658395,ACC976005,189.45,True
T100765,2023-07-19T08:54:13.606578,ACC881147,ACC392872,31.68,False
T100792,2023-05-04T22:53:34.570988,ACC248249,ACC351082,69.59,False
T100588,2023-12-15T14:10:13.017944,ACC543464,ACC382956,10.34,False
T100819,2023-09-27T05:46:15.168511,ACC747454,ACC173801,518.99,False
T100381,2023-03-23T09:58:48.675665,ACC305222,ACC123643,1450.88,False
T100614,2023-01-22T23:56:17.856158,ACC803069,ACC326634,81.99,False
T100261,2023-12-19T01:38:07.447347,ACC943442,ACC195513,320.29,False
T100701,2023-06-18T23:39:29.168829,ACC358717,ACC422733,170.63,False
T100063,2023-05-23T07:32:14.931151,ACC803055,ACC879238,4.29,False
T100244,2023-07-22T17:52:18.785334,ACC248241,ACC229221,1781.59,False
T100774,2023-01-06T15:13:57.801448,ACC945143,ACC609134,377.38,False
T100887,2023-11-26T06:24:40.819840,ACC365205,ACC610421,2.75,False
T100660,2023-01-10T19:19:28.957449,ACC926450,ACC477788,15.17,False
T100203,2023-11-05T13:20:09.387729,ACC818119,ACC202988,0.01,False
T100777,2023-06-18T01:52:19.402811,ACC375957,ACC905947,239.59,False
T1281081,2023-04-20T22:37:32.543577,ACC336738,ACC150327,44.33,True
T100371,2023-01-13T11:34:34.235651,ACC889460,ACC382894,212.75,False
T100030,2023-07-18T14:16:24.926931,ACC165290,ACC316881,12.64,False
T100056,2023-06-01T06:34:23.955694,ACC931016,ACC288803,446.5,False
T1221159,2023-10-15T12:28:04.654409,ACC445441,ACC983458,10.8,True
T100754,2023-04-30T22:33:31.609610,ACC341281,ACC790138,93.25,False
T100350,2023-08-15T02:55:10.845997,ACC722999,ACC788500,595.69,False
T100477,2023-04-24T01:59:16.335063,ACC405202,ACC486746,744.49,False
T3930322,2023-09-09T16:50:32.158434,ACC383641,ACC829619,317.35,True
T100894,2023-04-11T00:22:17.539386,ACC415169,ACC623107,35.52,False
T2383419,2023-12-18T15:22:38.743160,ACC351186,ACC734442,472.52,True
T100438,2023-06-22T16:14:43.368693,ACC713654,ACC354415,308.85,False
T100240,2023-01-17T20:08:25.978474,ACC301863,ACC435872,1091.9,False
T100493,2023-07-16T10:19:42.414114,ACC879241,ACC172103,173.94,False
T100781,2023-03-31T20:16:52.418949,ACC561746,ACC779367,148.23,False
T1214249,2023-12-24T20:55:01.414366,ACC196286,ACC905936,536.44,True
T100759,2023-05-17T05:07:38.577323,ACC963240,ACC265132,7.39,False
T100099,2023-11-08T20:45:29.893560,ACC281043,ACC848022,35.67,False
T100997,2023-04-20T05:10:31.897017,ACC244933,ACC616645,16.06,False
T2905112,2023-10-31T05:46:37.806820,ACC278462,ACC690076,12.81,True
T100933,2023-11-23T01:34:47.908948,ACC457369,ACC348207,950.52,False
T100570,2023-02-23T05:17:24.365724,ACC233730,ACC290706,43.05,False
T3707489,2023-08-14T23:21:33.951860,ACC667809,ACC930403,1397.7,True
T1474545,2023-09-12T11:00:54.476314,ACC167671,ACC107766,15.71,True
T100682,2023-09-27T02:15:03.482382,ACC303721,ACC971861,53.3,False
T4197783,2023-02-10T03:50:50.930653,ACC509323,ACC329968,27.59,True
T100571,2023-07-21T05:12:42.931250,ACC659699,ACC616530,344.06,False
T100275,2023-06-04T18:06:44.760628,ACC699405,ACC524434,1674.65,False
T100303,2023-03-31T12:06:11.500988,ACC254850,ACC972881,9.98,False
T3820549,2023-07-11T18:50:44.541581,ACC535011,ACC344996,15.18,True
T2238351,2023-08-29T11:56:47.746253,ACC138241,ACC432675,130.53,True
T100677,2023-03-21T01:19:48.288405,ACC163756,ACC689569,18.56,False
T100596,2023-11-26T02:38:25.219263,ACC134261,ACC116284,948.25,False
T3543841,2023-04-01T15:13:09.842339,ACC134259,ACC883445,0.01,True
T100930,2023-03-12T17:21:05.920295,ACC868206,ACC421218,4.78,False
T100447,2023-09-20T14:24:05.202507,ACC172961,ACC188896,16.4,False
T100722,2023-06-19T13:39:37.992765,ACC623212,ACC320869,75.95,False
T100906,2023-04-11T07:23:14.155662,ACC654418,ACC719171,355.31,False
T100316,2023-08-12T14:45:19.447513,ACC497073,ACC677079,19.76,False
T100058,2023-03-29T07:55:19.015988,ACC476395,ACC702733,14.25,False
T2656053,2023-06-08T22:45:42.020985,ACC677437,ACC172407,21.1,True
T100990,2023-07-20T02:33:18.335349,ACC208110,ACC456710,77.22,False
T100941,2023-06-04T21:47:32.301280,ACC673284,ACC184050,34.3,False
T100023,2023-02-12T23:03:25.445149,ACC299312,ACC367095,1514.87,False
T100107,2023-07-04T18:41:36.585918,ACC325595,ACC711680,16.72,False
T100411,2023-08-29T14:57:19.593821,ACC775591,ACC993933,693.35,False
T100724,2023-12-03T09:30:15.200972,ACC496811,ACC736613,544.03,False
T100513,2023-09-13T09:50:58.778268,ACC255067,ACC374025,13.08,False
T4530396,2023-04-10T06:59:41.967677,ACC254361,ACC484529,7.76,True
T2594820,2023-05-22T03:37:08.375910,ACC392839,ACC758804,34.2,True
T100274,2023-02-15T03:02:25.459938,ACC734992,ACC308622,87.85,False
T100938,2023-04-13T05:34:35.041807,ACC735732,ACC324549,1121.53,False
T100809,2023-12-09T14:11:18.644513,ACC289074,ACC564498,676.97,False
T1025800,2023-08-19T03:39:25.345336,ACC533357,ACC978361,1841.75,True
T100522,2023-08-31T03:44:41.594903,ACC355177,ACC321921,305.69,False
T100947,2023-01-24T21:08:49.847105,ACC940951,ACC149269,1022.66,False
T2257925,2023-11-07T19:03:53.986005,ACC854436,ACC322916,0.01,True
T100816,2023-04-11T11:02:53.415809,ACC580339,ACC791442,1017.51,False
T939014,2023-02-04T13:22:28.955892,ACC248996,ACC228710,54.39,True
T100380,2023-10-20T19:17:14.253343,ACC563581,ACC455136,2072.79,False
T100196,2023-06-06T10:49:41.474008,ACC963918,ACC794178,171.2,False
T100428,2023-04-15T15:18:13.545421,ACC227916,ACC513316,9.71,False
T100128,2023-07-31T15:40:45.754420,ACC958136,ACC436241,404.98,False
T4052951,2023-10-27T01:58:09.792009,ACC636257,ACC690846,1128.19,True
T100081,2023-07-03T00:58:39.231861,ACC572407,ACC208529,53.07,False
T2166248,2023-07-28T06:16:46.238930,ACC113622,ACC872889,136.42,True
T100346,2023-11-03T06:30:02.029480,ACC907789,ACC501779,228.14,False
T4642248,2023-04-18T04:33:00.690187,ACC916283,ACC714125,241.11,True
T100861,2023-12-02T16:50:39.091803,ACC226889,ACC125280,22.56,False
T100836,2023-08-12T19:35:55.765522,ACC774885,ACC396651,15.35,False
T100111,2023-09-04T11:32:38.393029,ACC712056,ACC422623,744.85,False
T4469052,2023-01-28T19:49:32.391644,ACC588245,ACC187431,239.93,True
T4810045,2023-02-17T16:47:20.178159,ACC369036,ACC149763,1205.14,True
T100892,2023-12-28T18:08:03.603808,ACC100594,ACC169445,581.95,False
T3037215,2023-11-05T22:51:29.103622,ACC886353,ACC119506,302.23,True
T4274357,2023-04-04T07:15:26.126395,ACC222750,ACC372472,14.53,True
T2723571,2023-04-17T03:18:18.869345,ACC424663,ACC522757,85.71,True
T100925,2023-08-30T14:23:49.897676,ACC388426,ACC564950,231.92,False
T100666,2023-02-17T10:29:17.412215,ACC683994,ACC353162,15.71,False
T100175,2023-12-25T17:11:07.613259,ACC172274,ACC587686,26.0,False
T100342,2023-02-22T19:41:10.766305,ACC651978,ACC887042,18.06,False
T100624,2023-07-31T17:38:15.492927,ACC551643,ACC476879,468.92,False
T100141,2023-06-29T12:41:10.591910,ACC679902,ACC493663,75.55,False
T100823,2023-05-07T14:23:44.497272,ACC163338,ACC749954,91.04,False
T4113725,2023-06-04T14:34:50.657018,ACC166730,ACC807829,63.14,True
T100464,2023-01-23T14:07:59.775350,ACC386578,ACC726909,5.06,False
T1315155,2023-07-06T07:35:48.991569,ACC718389,ACC607042,1340.28,True
T2100968,2023-07-22T22:41:35.624154,ACC482227,ACC155189,487.62,True
T4900198,2023-07-12T02:49:35.411436,ACC361163,ACC441303,1004.22,True
T100962,2023-10-31T19:59:23.531794,ACC886078,ACC142301,2259.78,False
T1374722,2023-09-09T08:28:52.021072,ACC149919,ACC853884,675.68,True
T5089414,2023-07-31T08:09:52.290631,ACC147462,ACC736931,9.24,True
T3619747,2023-01-15T23:44:15.916244,ACC281616,ACC457740,28.43,True
T3379589,2023-07-07T09:35:04.905852,ACC386488,ACC105423,30.28,True
T100943,2023-09-04T00:17:03.063847,ACC776968,ACC403942,19.38,False
T100481,2023-03-06T14:26:17.653017,ACC206105,ACC122013,307.55,False
T5087258,2023-03-13T08:07:43.319636,ACC286436,ACC165568,2106.97,True
T100535,2023-09-12T09:05:20.728612,ACC469221,ACC735617,30.06,False
T100259,2023-02-27T07:51:37.316597,ACC713805,ACC365953,91.08,False
T100548,2023-02-22T00:17:59.120781,ACC555040,ACC106092,13.63,False
T1961206,2023-04-19T06:07:02.415022,ACC964217,ACC328466,17.37,True
T4515481,2023-06-03T01:15:36.775812,ACC893915,ACC439228,174.31,True
T100429,2023-04-30T13:15:34.208341,ACC869989,ACC935750,419.15,False
T100778,2023-10-30T14:15:50.568628,ACC857009,ACC194825,6.22,False
T100617,2023-05-26T10:05:21.446206,ACC632599,ACC449951,1367.85,False
T100621,2023-01-08T22:26:35.468555,ACC180716,ACC279018,1019.39,False
T100923,2023-01-01T15:43:30.440335,ACC525244,ACC719433,201.6,False
T100254,2023-01-16T01:18:43.126192,ACC253999,ACC158627,380.29,False
T2751427,2023-07-24T02:04:23.804415,ACC925303,ACC807932,24.65,True
T1485072,2023-12-14T04:23:38.562282,ACC980199,ACC974045,240.67,True
T100762,2023-02-17T16:01:11.401595,ACC666216,ACC483341,1004.19,False
T100271,2023-09-14T05:14:33.399279,ACC482812,ACC995825,24.81,False
T100086,2023-12-20T01:37:35.550551,ACC975679,ACC303440,28.66,False
T1288024,2023-12-01T02:31:59.112579,ACC180860,ACC745633,8.84,True
T100265,2023-09-11T21:07:14.543359,ACC690525,ACC607122,223.15,False
T4412235,2023-10-25T12:07:27.137292,ACC767718,ACC105440,101.35,True
T4752592,2023-10-24T00:57:24.088174,ACC139252,ACC725078,1156.13,True
T4738537,2023-01-26T00:28:38.575854,ACC971327,ACC437229,956.59,True
T100712,2023-08-28T06:26:01.068813,ACC258070,ACC398806,21.08,False
T100668,2023-06-30T02:15:02.766650,ACC691534,ACC642824,57.65,False
T100221,2023-10-24T20:26:34.461314,ACC993647,ACC404681,19.83,False
T100113,2023-12-16T18:33:53.681910,ACC659024,ACC458955,8.19,False
T2465690,2023-10-03T23:50:19.980593,ACC790622,ACC635872,76.24,True
T100631,2023-10-15T20:53:49.202778,ACC637087,ACC491235,556.96,False
T100174,2023-07-22T17:05:43.970006,ACC876644,ACC787554,207.0,False
T100727,2023-12-12T12:29:01.713453,ACC739434,ACC362081,213.49,False
T2595648,2023-07-30T14:38:00.830194,ACC896164,ACC276694,431.9,True
T2565873,2023-03-28T17:10:59.985101,ACC971760,ACC501796,780.68,True
T100949,2023-02-28T04:16:24.591439,ACC540191,ACC893226,311.05,False
T2344585,2023-08-05T15:46:02.115453,ACC631554,ACC470540,385.79,True
T3093294,2023-05-03T10:55:32.173879,ACC851908,ACC573567,51.24,True
T100306,2023-03-15T04:08:48.307460,ACC687923,ACC847078,1299.38,False
T1831059,2023-07-06T23:06:30.071975,ACC270745,ACC828294,12.0,True
T100031,2023-06-09T01:55:23.340607,ACC507746,ACC452457,82.89,False
T100210,2023-08-02T13:17:15.479308,ACC955653,ACC299140,25.78,False
T100924,2023-09-07T20:26:13.766874,ACC328731,ACC389982,1202.88,False
T100363,2023-01-20T11:53:04.591725,ACC935309,ACC256465,162.12,False
T100908,2023-03-25T22:58:28.571304,ACC961412,ACC571072,54.21,False
T100849,2023-06-21T02:09:40.975473,ACC904586,ACC406655,440.37,False
T2334097,2023-04-17T01:00:12.118411,ACC144731,ACC509372,329.57,True
T100188,2023-08-08T14:33:57.633332,ACC652021,ACC601207,656.05,False
T100767,2023-03-09T07:41:03.933276,ACC304344,ACC248592,620.74,False
T100630,2023-02-05T17:19:49.935374,ACC563367,ACC827851,16.6,False
T100377,2023-03-25T05:36:35.200162,ACC402143,ACC907141,198.95,False
T100670,2023-02-05T17:44:59.498855,ACC979535,ACC633408,341.27,False
T2260493,2023-07-14T18:54:29.406892,ACC313182,ACC813969,433.46,True
T100048,2023-04-16T16:47:16.394519,ACC953085,ACC897441,2073.2,False
T100155,2023-03-10T20:59:00.817694,ACC749498,ACC156215,38.87,False
T100845,2023-04-21T13:57:32.418275,ACC579123,ACC939444,465.59,False
T3187001,2023-05-20T13:20:49.576020,ACC459001,ACC318462,37.48,True
T3978265,2023-03-07T11:04:48.928468,ACC765811,ACC453691,407.57,True
T2195617,2023-05-14T03:53:16.514557,ACC937226,ACC854066,0.01,True
T1058231,2023-12-29T21:45:12.288373,ACC742730,ACC825206,5.57,True
T1131791,2023-06-15T01:40:28.199490,ACC851722,ACC947258,20.48,True
T3448821,2023-01-15T02:50:01.044942,ACC333711,ACC610940,7.22,True
T100179,2023-01-28T12:15:42.975467,ACC242723,ACC917823,981.67,False
T100322,2023-06-19T19:23:53.365605,ACC873291,ACC989265,17.06,False
T4336414,2023-06-14T22:13:59.326011,ACC399648,ACC805790,20.17,True
T3815421,2023-02-01T08:21:31.584579,ACC297697,ACC994263,114.1,True
T100427,2023-02-04T12:44:31.967072,ACC289430,ACC975512,272.84,False
T4537120,2023-09-07T19:12:18.853717,ACC495936,ACC162589,1189.33,True
T4040117,2023-08-14T04:51:29.054308,ACC378971,ACC923037,67.9,True
T3477813,2023-05-09T18:28:05.387794,ACC644333,ACC518797,82.34,True
T100361,2023-01-03T12:37:20.309267,ACC193471,ACC841071,4.72,False
T1467711,2023-07-05T19:42:01.726760,ACC138079,ACC384385,142.25,True
T100538,2023-02-10T20:30:48.817912,ACC526541,ACC169163,11.15,False
T3774207,2023-08-04T08:01:22.109546,ACC922816,ACC260368,26.2,True
T100575,2023-02-27T17:34:23.027651,ACC133679,ACC733521,286.08,False
T100243,2023-10-07T21:48:08.464821,ACC499941,ACC514306,1232.61,False
T100534,2023-08-27T07:07:50.819848,ACC689820,ACC369232,160.32,False
T3395801,2023-08-15T15:43:43.223526,ACC628239,ACC534198,32.03,True
T100695,2023-01-10T16:35:20.609684,ACC996922,ACC588715,29.89,False
T100808,2023-05-18T04:23:37.513600,ACC323885,ACC511911,72.91,False
T100917,2023-05-05T14:53:05.526279,ACC178011,ACC656754,72.59,False
T150379,2023-03-28T13:56:00.181342,ACC448813,ACC764778,538.47,True
T100485,2023-07-29T00:12:16.516817,ACC366893,ACC677295,1113.95,False
T100435,2023-05-05T19:05:21.006465,ACC321321,ACC294078,432.58,False
T1005683,2023-07-30T03:34:02.323309,ACC499697,ACC974271,29.41,True
T100054,2023-05-05T11:47:47.077046,ACC516791,ACC781403,1224.09,False
T3881700,2023-03-29T16:22:45.513488,ACC795248,ACC884946,2194.99,True
T100772,2023-12-13T14:30:50.716671,ACC500033,ACC978683,22.53,False
T100312,2023-03-07T05:12:18.172712,ACC747033,ACC613742,19.6,False
T1799701,2023-11-25T05:03:37.421626,ACC719302,ACC209587,774.25,True
T100109,2023-12-23T09:43:31.666889,ACC491326,ACC933510,11.22,False
T100506,2023-12-04T20:03:50.624960,ACC565280,ACC875165,14.34,False
T100903,2023-02-27T09:12:40.255391,ACC461848,ACC169264,1449.83,False
T100977,2023-05-18T11:35:40.230013,ACC328855,ACC569226,1178.6,False
T2894491,2023-10-20T09:21:26.789292,ACC596828,ACC949467,405.16,True
T100618,2023-03-06T19:24:40.016860,ACC655286,ACC736955,80.63,False
T100296,2023-08-07T02:52:56.500408,ACC241647,ACC416503,637.01,False
T100451,2023-06-15T16:34:08.855177,ACC944510,ACC881984,280.15,False
T100857,2023-09-12T22:52:04.773015,ACC940231,ACC661683,710.18,False
T100636,2023-05-21T22:47:24.397887,ACC586501,ACC537147,298.9,False
T100286,2023-03-14T13:49:08.452520,ACC799080,ACC328367,1051.98,False
T1857929,2023-10-03T08:55:32.530195,ACC772589,ACC736293,973.53,True
T100664,2023-10-11T22:41:12.689791,ACC806850,ACC713160,554.43,False
T100126,2023-05-19T17:27:42.695914,ACC359535,ACC583000,20.65,False
T100828,2023-03-28T10:56:06.710696,ACC942658,ACC326915,147.27,False
T100292,2023-05-15T12:15:40.377694,ACC852715,ACC174316,1892.33,False
T100661,2023-07-07T09:34:27.149470,ACC632867,ACC921524,37.28,False
T2489554,2023-03-14T08:46:38.052435,ACC662629,ACC731534,14.88,True
T100355,2023-08-20T14:42:26.398844,ACC195071,ACC483102,13.37,False
T100170,2023-07-06T21:01:44.965442,ACC947312,ACC262924,8.32,False
T3479189,2023-05-23T12:11:36.090250,ACC324393,ACC906346,14.47,True
T100365,2023-10-12T17:49:24.397272,ACC338846,ACC202827,265.06,False
T100942,2023-04-29T16:04:13.065475,ACC947220,ACC767984,1116.69,False
T100209,2023-03-11T10:02:03.521985,ACC902658,ACC351974,1462.0,False
